ticker,날짜,O,H,L,C,V
1028,2006-05-23,171.66,173.49,170.57,172.78,99735656
1028,2006-05-24,172.38,173.69,169.32,173.36,106358813
1028,2006-05-25,173.23,173.28,168.28,168.33,84216813
1028,2006-05-26,170.99,172.44,170.52,171.83,89617689
1028,2006-05-29,173.31,174.21,172.41,172.64,76021145
1028,2006-05-30,172.59,172.79,170.15,171.01,94670961
1028,2006-06-01,169.84,171.2,167.93,168.03,91662325
1028,2006-06-02,170.38,170.67,166.68,169.85,100908741
1028,2006-06-05,170.81,170.81,167.93,168.83,78580547
1028,2006-06-07,165.23,166.12,163.78,164.17,99982006
1028,2006-06-08,163.22,163.65,158.11,158.11,124323080
1028,2006-06-09,159.92,160.23,157.32,159.61,104002122
1028,2006-06-12,158.91,160.07,157.31,160.05,83739582
1028,2006-06-13,156.95,157.43,155.12,155.43,92272336
1028,2006-06-14,154.15,158.94,153.89,157.7,92870482
1028,2006-06-15,159.07,160.04,156.43,157.36,86900874
1028,2006-06-16,160.87,163.41,160.81,163.05,107388932
1028,2006-06-19,162.11,162.89,160.45,161.79,59504391
1028,2006-06-20,160.88,160.93,157.81,158.48,85895271
1028,2006-06-21,158.91,159.38,157.21,158.63,72665761
1028,2006-06-22,161.15,161.43,159.69,160.2,95044911
1028,2006-06-23,158.5,158.95,156.54,158.88,68295051
1028,2006-06-26,158.73,160.43,158.02,160.18,115173321
1028,2006-06-27,161.18,162.2,160.75,161.36,85474879
1028,2006-06-28,158.61,160.19,158.11,160.18,70321906
1028,2006-06-29,161.31,164.09,161.31,163.3,85748132
1028,2006-06-30,166.96,167.6,166.48,167.45,105986994
1028,2006-07-03,167.34,167.83,166.07,167.33,77459191
1028,2006-07-04,168.64,168.81,165.98,166.15,71165613
1028,2006-07-05,162.85,166.29,162.71,165.51,70037166
1028,2006-07-06,164.3,165.18,162.17,163.47,75373474
1028,2006-07-07,164.79,165.36,163.88,164.7,79282290
1028,2006-07-10,163.64,168.3,163.01,168.27,86395336
1028,2006-07-11,167.77,168.68,166.83,168.45,72966592
1028,2006-07-12,168.82,169.89,167.24,167.93,81407267
1028,2006-07-13,166.19,168.3,164.65,166.35,75733114
1028,2006-07-14,163.11,163.11,161.22,162.33,78342962
1028,2006-07-18,160.45,160.88,159.39,159.69,72224943
1028,2006-07-19,160.06,161.25,159.34,159.76,62780159
1028,2006-07-20,163.85,165.15,163.33,165.11,85466725
1028,2006-07-21,163.46,165.04,163.29,165.0,60507240
1028,2006-07-24,163.27,164.53,161.52,163.93,65293064
1028,2006-07-25,165.8,167.22,165.79,166.25,71862686
1028,2006-07-26,166.88,167.08,165.82,166.1,58085336
1028,2006-07-27,166.28,169.03,165.85,168.52,99322295
1028,2006-07-28,168.03,169.23,167.98,168.54,88842739
1028,2006-07-31,170.81,171.12,168.51,168.51,73819639
1028,2006-08-01,168.35,169.82,167.01,167.14,78202937
1028,2006-08-02,166.46,168.27,165.86,168.27,73213635
1028,2006-08-03,169.29,169.61,167.39,167.94,85522339
1028,2006-08-04,168.49,169.83,168.49,169.68,76864263
1028,2006-08-07,170.21,170.25,167.57,167.61,66700735
1028,2006-08-08,167.81,170.68,167.8,170.68,71869755
1028,2006-08-09,170.17,172.08,168.77,171.11,83835220
1028,2006-08-10,170.6,171.08,168.02,169.44,91749876
1028,2006-08-11,170.51,171.24,167.6,167.65,78699471
1028,2006-08-14,168.11,169.43,167.12,168.19,67547071
1028,2006-08-16,170.43,171.58,169.74,171.01,100352182
1028,2006-08-17,172.4,173.74,172.4,172.65,107129047
1028,2006-08-18,172.94,173.87,172.21,173.17,86745167
1028,2006-08-21,173.46,174.13,171.21,171.96,75497124
1028,2006-08-22,171.97,173.97,171.96,173.81,80167738
1028,2006-08-23,173.42,173.52,171.65,172.33,84952419
1028,2006-08-24,171.94,171.97,170.23,171.08,71978252
1028,2006-08-25,171.32,173.58,171.24,172.92,94181181
1028,2006-08-28,172.98,173.79,172.27,172.64,73960429
1028,2006-08-29,173.79,174.94,173.78,174.79,94639767
1028,2006-08-30,175.01,175.08,173.71,174.16,96635014
1028,2006-08-31,175.08,176.71,174.51,175.44,116032394
1028,2006-09-01,175.73,176.06,175.03,175.99,87564246
1028,2006-09-04,176.97,177.14,176.32,176.32,81634167
1028,2006-09-05,176.57,176.9,175.99,176.75,89954054
1028,2006-09-06,176.91,177.25,175.7,176.19,84668443
1028,2006-09-07,175.49,175.83,174.27,175.43,86229128
1028,2006-09-08,174.7,176.29,174.58,175.78,92991799
1028,2006-09-11,176.06,176.06,172.93,173.0,72054082
1028,2006-09-12,173.02,173.77,171.71,172.28,96290366
1028,2006-09-13,174.05,174.16,172.85,172.93,77900826
1028,2006-09-14,172.96,176.35,172.3,176.35,111977566
1028,2006-09-15,175.85,176.53,175.21,176.51,83610228
1028,2006-09-18,176.38,178.81,176.08,178.28,107671705
1028,2006-09-19,178.41,178.92,177.81,178.32,88364011
1028,2006-09-20,177.3,177.71,175.81,177.34,84485272
1028,2006-09-21,178.24,178.99,176.87,177.31,92122522
1028,2006-09-22,176.22,176.48,174.27,175.0,108576211
1028,2006-09-25,175.04,176.45,174.69,176.03,81731762
1028,2006-09-26,176.78,176.9,173.88,174.58,89874162
1028,2006-09-27,175.65,176.93,175.62,176.74,108474586
1028,2006-09-28,177.09,178.36,176.61,178.21,109561721
1028,2006-09-29,178.67,178.95,177.56,178.05,123415093
1028,2006-10-02,177.91,179.43,177.53,178.46,141488105
1028,2006-10-04,177.4,178.21,174.68,175.48,114790572
1028,2006-10-09,176.22,177.43,169.57,171.78,165876743
1028,2006-10-10,172.31,173.65,172.24,172.78,114986562
1028,2006-10-11,171.47,173.43,171.23,172.51,93763655
1028,2006-10-12,172.54,174.09,172.25,173.1,90789133
1028,2006-10-13,175.48,176.08,175.04,175.42,138807163
1028,2006-10-16,176.47,176.77,175.62,176.51,94702554
1028,2006-10-17,176.98,176.98,174.42,175.85,98487176
1028,2006-10-18,175.11,176.52,174.11,176.19,122990712
1028,2006-10-19,176.46,176.82,175.57,176.11,112420377
1028,2006-10-20,176.49,177.71,176.45,177.35,115846336
1028,2006-10-23,177.66,177.97,176.51,177.36,89468272
1028,2006-10-24,178.48,178.6,177.15,177.49,95382888
1028,2006-10-25,177.78,178.69,177.4,178.2,82574235
1028,2006-10-26,178.51,179.0,177.91,178.53,91222411
1028,2006-10-27,179.06,179.24,176.98,177.85,84622898
1028,2006-10-30,177.05,177.06,175.65,175.99,69851171
1028,2006-10-31,176.04,176.91,175.2,176.84,152211849
1028,2006-11-01,177.76,178.5,176.97,177.94,93675932
1028,2006-11-02,177.58,179.22,177.41,179.22,86565199
1028,2006-11-03,179.34,179.42,178.56,179.14,91123665
1028,2006-11-06,178.51,178.51,176.37,178.41,104041372
1028,2006-11-07,179.72,180.18,179.19,179.45,91402172
1028,2006-11-08,179.97,180.27,178.51,178.61,102795033
1028,2006-11-09,178.93,181.31,178.89,181.31,85441447
1028,2006-11-10,180.55,181.42,180.29,180.78,77259479
1028,2006-11-13,181.3,181.35,179.51,180.93,75836730
1028,2006-11-14,181.75,182.34,181.34,182.3,91065225
1028,2006-11-15,182.87,183.07,182.11,182.9,101765638
1028,2006-11-16,183.56,183.56,182.45,182.69,116397838
1028,2006-11-17,183.18,183.53,182.23,182.94,116586831
1028,2006-11-20,183.13,183.16,181.41,181.6,101617059
1028,2006-11-21,181.76,182.25,181.34,182.06,120635194
1028,2006-11-22,181.92,184.27,181.91,184.24,104783508
1028,2006-11-23,183.8,184.48,183.12,183.77,102719802
1028,2006-11-24,183.87,184.36,182.61,183.91,110346529
1028,2006-11-27,183.61,184.34,183.0,184.27,92732294
1028,2006-11-28,181.95,182.76,181.62,182.42,82683967
1028,2006-11-29,182.69,184.15,182.64,183.8,95059232
1028,2006-11-30,184.47,185.41,184.47,184.96,94174781
1028,2006-12-01,185.12,185.54,184.43,185.28,80089109
1028,2006-12-04,184.83,185.11,184.27,184.31,77862446
1028,2006-12-05,185.11,185.64,183.5,183.53,125528066
1028,2006-12-06,183.8,183.83,180.77,182.6,88637632
1028,2006-12-07,182.35,182.97,181.76,182.19,101834173
1028,2006-12-08,180.84,180.84,178.94,179.49,90894436
1028,2006-12-11,179.45,180.25,179.32,179.5,58666799
1028,2006-12-12,179.7,179.86,177.44,177.93,68018799
1028,2006-12-13,177.76,179.3,177.49,178.75,68412579
1028,2006-12-14,179.04,183.57,177.83,183.57,116454436
1028,2006-12-15,183.51,184.45,182.62,183.82,183160199
1028,2006-12-18,184.55,186.02,184.54,185.38,102036219
1028,2006-12-19,185.08,185.82,184.31,184.63,84591468
1028,2006-12-20,184.92,187.07,184.92,186.54,110767334
1028,2006-12-21,186.8,187.06,185.48,185.81,81283315
1028,2006-12-22,185.26,186.29,185.25,185.98,84024926
1028,2006-12-26,185.59,186.49,184.02,185.62,93765492
1028,2006-12-27,184.56,184.96,183.46,184.3,56587932
1028,2006-12-28,185.45,185.93,184.26,185.39,68619695
1028,2007-01-02,186.02,186.15,184.91,185.7,68789876
1028,2007-01-03,185.84,186.02,182.13,182.13,87839145
1028,2007-01-04,182.26,182.3,179.32,180.52,108367077
1028,2007-01-05,180.71,180.97,177.33,179.1,158915015
1028,2007-01-08,177.8,178.86,176.45,177.08,93591987
1028,2007-01-09,177.91,178.58,176.64,177.52,101666040
1028,2007-01-10,177.22,177.22,173.58,174.99,114430416
1028,2007-01-11,175.21,177.67,174.99,176.26,108805409
1028,2007-01-12,178.21,179.64,177.29,179.36,93939979
1028,2007-01-15,180.55,180.66,179.09,179.82,66825031
1028,2007-01-16,179.98,180.31,179.14,179.73,71470070
1028,2007-01-17,180.05,180.05,176.98,178.5,86595275
1028,2007-01-18,178.33,179.3,177.57,179.12,66956156
1028,2007-01-19,177.21,177.84,175.62,176.23,87851859
1028,2007-01-22,176.81,177.01,174.75,176.83,71243718
1028,2007-01-23,175.44,177.33,175.35,176.9,66141433
1028,2007-01-24,177.81,179.52,177.64,179.37,72766822
1028,2007-01-25,180.6,180.6,178.73,179.12,62930804
1028,2007-01-26,177.83,178.65,176.88,177.58,59571002
1028,2007-01-29,178.32,178.57,176.2,176.41,56887068
1028,2007-01-30,176.7,177.68,176.08,177.45,61742122
1028,2007-01-31,178.01,178.01,175.65,175.99,96764770
1028,2007-02-01,176.89,179.1,176.21,179.1,75431906
1028,2007-02-02,179.58,183.23,179.54,183.2,104389070
1028,2007-02-05,183.21,184.13,182.66,183.73,76543419
1028,2007-02-06,183.46,185.12,183.17,185.09,79576499
1028,2007-02-07,185.34,185.39,183.66,184.67,77870722
1028,2007-02-08,184.43,185.29,183.23,184.25,71977854
1028,2007-02-09,184.4,185.47,184.13,184.72,73179084
1028,2007-02-12,183.22,183.22,181.36,182.8,74174132
1028,2007-02-13,182.59,184.17,182.18,183.29,75430409
1028,2007-02-14,184.77,186.39,184.77,185.72,91226769
1028,2007-02-15,187.64,187.71,186.5,186.82,91320963
1028,2007-02-16,186.9,187.58,186.12,187.57,93601306
1028,2007-02-20,187.83,188.2,186.85,188.12,70791034
1028,2007-02-21,188.5,188.7,186.96,187.9,85084884
1028,2007-02-22,188.09,190.58,188.07,189.72,96145148
1028,2007-02-23,190.4,190.46,188.87,190.19,126140009
1028,2007-02-26,189.69,190.24,189.07,190.12,79458163
1028,2007-02-27,189.93,189.93,188.02,188.15,84214491
1028,2007-02-28,180.5,183.2,180.27,183.2,165234755
1028,2007-03-02,181.87,184.02,181.69,182.78,115527385
1028,2007-03-05,180.94,181.45,177.61,177.69,86418112
1028,2007-03-06,178.66,181.42,178.66,181.23,78065024
1028,2007-03-07,182.9,182.91,180.46,182.36,81316595
1028,2007-03-08,182.07,185.31,181.93,183.94,98600320
1028,2007-03-09,185.24,185.43,182.83,183.87,80911045
1028,2007-03-12,184.7,186.42,184.7,186.36,81694349
1028,2007-03-13,186.32,186.42,185.23,185.72,74362745
1028,2007-03-14,182.2,183.17,181.54,181.81,75986236
1028,2007-03-15,183.35,184.75,182.79,184.41,69875158
1028,2007-03-16,184.59,185.0,182.84,184.42,65891593
1028,2007-03-19,184.01,186.55,183.4,186.31,80959748
1028,2007-03-20,187.02,187.07,185.82,186.34,105277931
1028,2007-03-21,186.58,187.49,185.22,186.24,104975482
1028,2007-03-22,187.48,188.13,186.97,187.15,109014105
1028,2007-03-23,187.39,187.98,186.33,186.89,92549397
1028,2007-03-26,187.41,188.09,186.43,187.19,102149748
1028,2007-03-27,187.21,188.18,186.19,187.68,85882555
1028,2007-03-28,187.48,188.21,185.06,185.96,94528665
1028,2007-03-29,185.32,187.78,185.01,187.44,88496962
1028,2007-03-30,188.33,188.58,186.98,187.6,85610033
1028,2007-04-02,188.05,189.25,187.97,188.56,103872443
1028,2007-04-03,189.1,189.26,187.67,189.12,118149150
1028,2007-04-04,190.59,191.98,190.0,191.77,129099477
1028,2007-04-05,192.0,192.07,190.99,191.41,84128884
1028,2007-04-06,192.22,192.34,190.8,191.63,92217051
1028,2007-04-09,192.4,193.92,192.34,193.85,130993266
1028,2007-04-10,193.75,193.94,192.6,193.55,115123704
1028,2007-04-11,194.75,196.15,194.56,195.27,126443084
1028,2007-04-12,194.77,196.82,194.38,196.81,113652215
1028,2007-04-13,196.43,196.77,194.83,195.85,105116402
1028,2007-04-16,196.24,197.29,195.65,197.1,112813866
1028,2007-04-17,197.92,197.96,195.97,196.57,109094764
1028,2007-04-18,197.04,197.86,196.64,197.31,101529821
1028,2007-04-19,197.6,197.67,193.51,194.59,108707631
1028,2007-04-20,195.27,197.24,195.27,197.24,108797988
1028,2007-04-23,198.82,199.88,197.67,198.62,120484954
1028,2007-04-24,198.69,200.21,197.68,200.02,124871713
1028,2007-04-25,200.16,200.27,197.17,198.43,155384051
1028,2007-04-26,200.4,201.23,199.7,199.75,119939267
1028,2007-04-27,198.76,199.53,197.5,198.28,101418414
1028,2007-04-30,197.9,198.55,196.88,198.55,70534112
1028,2007-05-02,199.76,200.43,199.09,199.86,83992435
1028,2007-05-03,201.12,201.24,200.0,200.67,87117272
1028,2007-05-04,201.1,201.56,200.29,201.56,91369015
1028,2007-05-07,202.45,203.8,202.42,203.57,115209583
1028,2007-05-08,203.64,204.29,202.76,203.51,110687855
1028,2007-05-09,203.47,204.77,202.78,204.77,94205100
1028,2007-05-10,205.94,207.81,205.51,205.51,115513095
1028,2007-05-11,204.14,206.24,203.33,206.06,102369365
1028,2007-05-14,207.12,208.46,205.47,206.28,112779737
1028,2007-05-15,205.54,207.13,204.12,204.22,103640863
1028,2007-05-16,204.42,205.73,203.79,205.62,114179060
1028,2007-05-17,207.32,207.49,206.48,207.35,103298890
1028,2007-05-18,206.96,207.58,205.17,206.69,89701912
1028,2007-05-21,205.44,208.86,205.41,208.74,114917586
1028,2007-05-22,209.33,210.74,208.47,210.69,132809957
1028,2007-05-23,211.22,211.87,210.14,211.15,111580582
1028,2007-05-25,208.83,210.7,208.63,210.54,106207351
1028,2007-05-28,211.17,212.05,210.56,211.88,116768361
1028,2007-05-29,212.38,212.81,210.87,212.06,124117956
1028,2007-05-30,211.93,211.97,208.82,211.76,138362358
1028,2007-05-31,214.34,216.67,213.58,216.45,169538991
1028,2007-06-01,218.01,222.38,217.3,218.74,200863034
1028,2007-06-04,221.04,222.55,218.68,221.9,169610142
1028,2007-06-05,221.58,222.97,219.6,222.37,193301574
1028,2007-06-07,219.75,223.25,219.04,223.17,180901094
1028,2007-06-08,220.7,221.17,218.36,219.8,167576994
1028,2007-06-11,221.38,221.7,217.62,218.39,192456689
1028,2007-06-12,218.02,220.07,217.78,219.94,157488120
1028,2007-06-13,218.72,219.9,217.8,218.59,151880219
1028,2007-06-14,221.05,224.46,220.87,224.46,176884824
1028,2007-06-15,224.85,225.26,223.53,224.61,156003079
1028,2007-06-18,226.27,228.89,225.92,228.8,179902293
1028,2007-06-19,229.75,229.75,227.35,229.04,170075026
1028,2007-06-20,229.76,229.79,225.8,226.58,207789617
1028,2007-06-21,225.65,229.08,224.83,227.81,197473382
1028,2007-06-22,228.65,228.86,223.61,224.95,241224034
1028,2007-06-25,222.73,227.1,222.04,223.4,124854603
1028,2007-06-26,223.92,224.73,220.36,222.43,111227442
1028,2007-06-27,222.34,222.34,219.36,220.35,101971035
1028,2007-06-28,221.93,222.69,220.8,222.6,92486822
1028,2007-06-29,223.09,224.37,221.24,221.31,104236994
1028,2007-07-02,220.88,224.78,220.13,224.75,91098637
1028,2007-07-03,227.29,229.45,226.7,229.29,137616840
1028,2007-07-04,230.61,233.57,230.38,233.43,156599858
1028,2007-07-05,233.83,237.03,233.31,234.75,162175656
1028,2007-07-06,235.5,236.94,233.55,236.52,153595924
1028,2007-07-09,237.23,240.49,237.23,239.68,157938849
1028,2007-07-10,240.0,241.28,239.29,241.02,122719501
1028,2007-07-11,239.22,242.52,238.48,240.46,120455570
1028,2007-07-12,241.34,244.74,241.33,242.86,128711294
1028,2007-07-13,247.55,250.2,247.17,250.19,155575056
1028,2007-07-16,250.38,251.28,245.85,247.91,137375335
1028,2007-07-18,248.28,248.46,244.92,244.92,137020237
1028,2007-07-19,245.43,247.59,243.71,245.7,112689751
1028,2007-07-20,247.05,251.45,245.62,251.45,129644167
1028,2007-07-23,250.66,252.47,249.2,252.28,140444802
1028,2007-07-24,253.18,253.55,250.15,252.61,137434579
1028,2007-07-25,253.14,254.93,248.75,253.93,134367363
1028,2007-07-26,254.71,255.38,248.74,248.75,158373782
1028,2007-07-27,243.56,243.57,236.15,238.34,149270813
1028,2007-07-30,237.31,241.41,235.22,241.39,116251002
1028,2007-07-31,242.46,244.34,240.09,244.32,121746728
1028,2007-08-01,242.63,242.63,231.26,234.36,135889135
1028,2007-08-02,236.5,238.66,228.41,233.84,119483225
1028,2007-08-03,236.57,238.95,235.48,236.91,93443812
1028,2007-08-06,230.97,233.98,230.61,233.92,84782240
1028,2007-08-07,238.15,238.19,233.23,234.5,88720268
1028,2007-08-08,237.06,240.48,236.25,240.07,115048930
1028,2007-08-09,242.85,243.73,239.84,241.0,115667030
1028,2007-08-10,233.77,233.95,229.04,230.68,122042362
1028,2007-08-13,232.19,233.88,229.73,233.88,86715856
1028,2007-08-14,232.63,234.82,228.31,230.45,97532941
1028,2007-08-16,222.71,222.99,214.1,215.67,158713735
1028,2007-08-17,217.05,217.32,207.09,208.57,141329648
1028,2007-08-20,216.42,220.08,215.31,219.72,119383701
1028,2007-08-21,220.93,224.12,218.42,220.18,94174009
1028,2007-08-22,220.9,224.0,220.24,223.24,86645503
1028,2007-08-23,228.43,230.82,228.01,228.6,108205643
1028,2007-08-24,227.67,228.91,225.18,227.18,80772191
1028,2007-08-27,231.37,232.65,228.57,228.65,86155417
1028,2007-08-28,229.11,232.38,227.23,232.38,104930273
1028,2007-08-29,225.41,233.06,225.31,232.32,116175540
1028,2007-08-30,236.52,237.45,233.51,234.22,100814307
1028,2007-08-31,234.38,238.54,234.36,238.28,102794430
1028,2007-09-03,238.64,239.11,236.51,238.72,79370579
1028,2007-09-04,238.7,241.25,237.56,237.91,98230914
1028,2007-09-05,239.01,241.11,235.73,236.61,97675943
1028,2007-09-06,236.19,239.65,233.77,239.61,85859101
1028,2007-09-07,239.25,240.87,236.84,238.92,90748881
1028,2007-09-10,233.93,233.98,229.33,232.44,82437152
1028,2007-09-11,233.42,234.71,231.2,234.12,82105197
1028,2007-09-12,234.76,234.96,229.4,229.44,84333707
1028,2007-09-13,230.02,234.3,228.41,233.86,99429034
1028,2007-09-14,234.73,237.4,233.71,236.54,87662427
1028,2007-09-17,236.82,237.22,234.16,236.72,71429245
1028,2007-09-18,236.19,236.77,232.14,232.42,83714743
1028,2007-09-19,239.51,241.56,238.97,241.08,119720487
1028,2007-09-20,241.04,243.02,240.38,242.42,98905220
1028,2007-09-21,242.42,243.82,241.35,243.45,92740943
1028,2007-09-27,246.59,247.73,245.52,247.1,112541849
1028,2007-09-28,247.63,247.7,246.04,247.2,91238860
1028,2007-10-01,247.4,250.46,247.06,249.3,87381103
1028,2007-10-02,252.95,256.8,251.91,256.8,129997874
1028,2007-10-04,254.41,256.3,253.53,254.92,131154566
1028,2007-10-05,255.41,255.66,252.98,253.63,100864619
1028,2007-10-08,256.78,257.03,254.38,255.87,122069888
1028,2007-10-09,256.0,257.28,253.56,256.19,108913289
1028,2007-10-10,258.65,260.2,257.64,259.79,108991340
1028,2007-10-11,259.66,261.84,258.59,261.82,178074111
1028,2007-10-12,260.25,261.5,256.54,257.31,141495241
1028,2007-10-15,259.24,259.61,254.69,257.68,108032905
1028,2007-10-16,254.91,258.36,252.95,253.43,147412710
1028,2007-10-17,252.6,253.77,244.2,250.48,134322808
1028,2007-10-18,251.08,253.82,249.23,252.6,138559663
1028,2007-10-19,252.34,252.34,248.35,248.35,122990340
1028,2007-10-22,239.85,240.88,236.86,239.94,134308575
1028,2007-10-23,243.9,245.59,240.4,244.9,122006472
1028,2007-10-24,247.03,252.16,241.97,243.31,146208261
1028,2007-10-25,247.47,249.59,244.28,248.8,133658916
1028,2007-10-26,249.95,255.65,247.67,255.65,140845213
1028,2007-10-29,258.38,261.45,257.75,260.4,137365742
1028,2007-10-30,259.51,260.54,256.85,258.87,124679723
1028,2007-10-31,258.78,260.6,257.82,260.42,121223029
1028,2007-11-01,263.06,263.15,258.71,260.76,125134858
1028,2007-11-02,254.77,258.81,254.7,254.74,134372312
1028,2007-11-05,255.05,255.29,250.69,253.91,112049110
1028,2007-11-06,254.72,259.47,254.31,259.24,114208152
1028,2007-11-07,261.78,263.91,258.74,258.74,128526150
1028,2007-11-08,254.38,255.72,249.36,249.97,133037778
1028,2007-11-09,252.83,255.13,249.27,252.21,127493724
1028,2007-11-12,247.89,247.95,241.41,243.89,111397136
1028,2007-11-13,244.21,245.15,239.39,244.73,118557453
1028,2007-11-14,251.01,251.49,248.01,250.21,119036891
1028,2007-11-15,249.79,252.2,245.17,247.39,125936667
1028,2007-11-16,243.09,244.54,239.81,244.13,106576710
